Sample_name,Al,Ti,V,Mn,Co,Ni,Cu,Zn,Ga,Ge,Cd,La,Ce,Pr,Nd,Sm,Eu,Gd ,Tb ,Dy,Ho,Er,Tm ,Yb,Lu   ,Hg,Na,Mg ,K,Ca,Fe,Li,Be,B,Rb,Sr,Zr,Nb,Mo,Pd,Ag,In,Sn,Sb,Te,Cs,Ba,Hf,Ta,W,Os,Pt,Au,Tl,Pb,Bi ,Th ,U,Cr,As,Se  ,Si,P,S
m21/14_0-1,"219,46","6,69","5,33","43,46","0,25","0,62","1,73","2,02",<DL,"0,17","0,05","1,46","3,53","0,31","1,27","0,26","0,05","0,24","0,02","0,18","0,03","0,09",<DL,"0,07",0,"7,37","2041,24","3250,09","242,73","89935,06","1190,31","0,69","0,01","2,55","0,21","269,55","0,15","0,04",<DL,<DL,"0,22",<DL,<DL,<DL,"0,02","0,04",<DL,"0,03",<DL,<DL,<DL,<DL,"0,03",<DL,"1,51",<DL,"0,14","0,22","1,42","3,14",<DL,"138,41","932,2","5591,87"
m21/15_0-1,"899,97","15,99","8,02","53,65","0,59","1,57","2,18","6,6","0,07","0,23","0,06","3,04","4,13","0,65","2,6","0,53","0,11","0,46","0,06","0,36","0,06","0,19",<DL,"0,14","0,01","6,2","6595,54","7323,89","693,84","131109,7","1803,46","1,87","0,07","28,95","0,93","347,28","0,23","0,06","0,02","0,51","0,14",<DL,"0,03",<DL,"0,02","0,15","2,13","0,05",<DL,<DL,<DL,<DL,"0,02",<DL,"1,94",<DL,"0,15","0,48","2,66","2,66",<DL,"875,87","914,88","7329,09"
m21/15_10-11,"373,69","8,18","5,61",39,"0,3","1,32","1,38","12,17",<DL,"0,19","0,07","3,68","2,98","0,74","2,87","0,55","0,11","0,45","0,05","0,34","0,06","0,17","0,01","0,12","0,01","3,77","3330,63","5583,6","336,06","199008,8","1109,79","0,91","0,03","5,82","0,37","444,66","0,04","0,02",<DL,"0,48","0,09",<DL,<DL,<DL,"0,03","0,07","1,4","0,02",<DL,<DL,<DL,<DL,<DL,<DL,"1,13",<DL,"0,07","0,45","1,76","2,39",<DL,"331,09","918,13","5848,43"
m21/15_15-16,"134,55","4,63","4,78","41,4","0,18","0,59","2,5","1,38",<DL,"0,5","0,07","2,18","2,22","0,46","1,85","0,36","0,08","0,32","0,04","0,25","0,04","0,14",<DL,"0,1","0,01",5,"1714,9","5535,95","207,86","185628,5","618,61","0,61","0,02",6,"0,13","521,16","0,2","0,3","0,15","0,87","0,11",<DL,"0,38",<DL,"0,06","0,03","1,91","0,28","34,26","0,18","0,01","0,09","1,35",<DL,"0,7",<DL,"0,05","0,45","1,41","2,27",<DL,"111,96","877,06","5993,12"
m21/15_20-21,"254,63","5,65","5,32","41,64","0,29","0,68","4,04","2,32","0,4","0,19","0,06","1,82","2,21","0,57","1,6","0,53","0,28","0,46","0,25","0,41","0,25","0,31","0,2","0,29","0,23","5,63","1195,77","3413,39","217,85","122376,6","1057,09","0,73","0,02","4,18","0,21","382,42","0,06","0,08",<DL,"0,4","0,59","0,95",<DL,<DL,"0,03","0,05","1,11","0,05","1,92","0,04",<DL,0,"0,08",<DL,"1,08","1,24","0,26","0,4","1,44","2,75",<DL,"194,87","863,22","5536,02"
m21/15_21-22,"545,79","10,1","6,41","49,51","0,42","0,79","1,8","2,99","0,03","0,21","0,06","2,01","2,8","0,45","1,83","0,37","0,07","0,32","0,04","0,25","0,04","0,13",<DL,"0,09","0,01","2,39","1267,54","4504,07","364,28","111592,7","1614,46","1,14","0,03","5,23","0,55","337,35","0,05","0,03",<DL,<DL,"0,25",<DL,<DL,"0,03","0,03","0,12","1,19",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,26","0,03","0,1","0,27","2,39","2,96","0,33","481,67","4920,53","5643,3"
m21/15_22-23,"1946,51","25,81","8,57","44,29","1,17","2,16","5,2","3,77","0,48","0,39","0,03","5,85","10,12","1,7","5,56","1,47","0,59","1,17","0,4","0,9","0,35","0,53","0,23","0,45","0,24","1,85","1489,42","3105,58","742,61","50949,52","3295,62","2,91","0,12","9,15","2,5","171,32","0,12","0,03",<DL,<DL,"0,14",<DL,"0,06",<DL,"0,02","0,54","5,01",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"3,55","0,04","0,33","0,72","4,51","2,43",<DL,"1487,06","579,13","3528,13"
m21/15_25-26,"1052,46","17,43","7,37","48,4","0,75","1,43","1,94","5,11","0,16","0,27","0,03","3,19","6,43","0,71","2,81","0,57","0,12","0,48","0,06","0,36","0,06","0,18",<DL,"0,13","0,01","3,02","1257,38","3709,43","554,28",105563,"2134,11","1,66","0,06","5,44","1,11","274,42","0,12","0,03",<DL,<DL,"0,11",<DL,<DL,"0,03","0,05","0,23","2,77",<DL,"0,51","0,02","0,06",<DL,<DL,<DL,"1,47",<DL,"0,15","0,25","3,43","2,25",<DL,"963,95","4805,38","5555,43"
m21/15_26-27,"6297,1","46,07","22,86","80,65","4,03","8,78","9,72","14,81","1,45","0,57","0,04","12,2","24,56","3,04","11,81","2,49","0,53","2,01","0,28","1,52","0,27","0,74","0,09","0,56","0,07","1,08","2623,59","4044,68","2274,34","24715,52","9904,62","8,8","0,4","21,33","4,65","44,83","0,13","0,02",<DL,"0,56","0,11",<DL,"0,45",<DL,"0,02","0,93","26,98",<DL,"0,87",<DL,0,<DL,<DL,"0,03","10,11","0,09","1,04","0,28","12,93","2,16",<DL,"2212,32","690,89","3659,62"
m21/15_27-28,"3187,09","44,1","17,21","69,34","2,11","4,04","3,29","6,3","1,06","0,5","0,04","6,9","12,87","1,65","6,38","1,29","0,28","1,04","0,15","0,77","0,14","0,38","0,04","0,29","0,04","27,5","2020,36","2805,06","1138,49","45156,81","7078,66","4,31","0,2","12,05","2,91","118,74","0,08","0,15","0,02",<DL,"0,42","0,09","0,11","0,08","0,02","0,64","19,21",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"4,49","1,8","0,69","0,21","8,51","3,15","0,02","2171,27","733,81","4470,14"
